Warna				Style Desain		Makna Warna		Sifat Warna	Usia pengguna	Warna Dasar
Putih				American Classic	Suci			"Dingin"	"R, L"			"Putih"
					Tradisional				
					Industrial				
					Minimalis				
					Alam				
Hitam				Industrial			Kekuatan		"Panas""	"R, D"			"Hitam"
Kuning				American Classic	Keceriaan		"Panas"		"A, R, D"		"Kuning"
Merah				American Classic	Keberanian		"Panas"		"A, R, D"		"Merah"
Ungu				Modern				Keagungan		"Dingin"	"A, R, D"		"Merah, Biru"
Hijau				Alam				Santai			"Dingin"	"A, R D, L"		"Kuning, Biru"
Biru				Alam				Ketenangan		"Dingin"	"A, R, D, L"	"Biru"
Oranye				American Classic	Keceriaan		"Panas"		"A, R, D, L"	"Merah, Kuning"
Coklat				Tradisional			Kenyamanan		"Hangat"	"R, L"			"Merah, Biru, Kuning"
					Alam				
Abu-abu				Industrial			Kerendahan hati	"Dingin"	"R, D, L"		"Hitam, Putih"
Merah muda			Modern				Kewanitaan		"Panas"		"A, R, D"		"Merah, Putih"
Merah tua			Modern				Keberanian		"Panas"		"R, L"			"Merah, Hitam"
Biru tua			Alam				Ketenangan		"Dingin"	"A, R, D, L"	"Biru, Hitam"
Abu-abu tua			Industrial			Kerendahan hati	"Panas"		"D, R, L"		"Putih, Hitam"
Hijau tua			Alam				Santai			"Dingin"	"L"				"Kuning, Biru, Hitam"
Coklat tua			Tradisional			Kejantanan		"Hangat"	"L"				"Merah, Biru, Kuning"
					Alam				
Coklat muda			American Classic	Kejantanan		"Hangat"	"L"				"Merah, Biru, Kuning"
					Tradisional				
					Alam				
Biru muda			American Classic	Kewanitaan		"Dingin"	"A, R, D, L"	"Biru, Putih"
					Alam				
Abu-abu muda		Industrial			Kerendahan hati	"Dingin"	"R, D, L"		"Hitam, Putih"
Hijau muda			American Classic	Kewanitaan		"Hangat"	"A, R, D, L"	"Biru, Kuning"
					Alamï¿½				
Magenta				American Classic	Kewanitaan		"Dingin"	"A, R, D, L"	"Biru, Merah, Putih"
					Modern				
Emas				American Classic	Keagungan		"Panas"		"A, R, D, L"	"Merah, Biru, Kuning"
Biru navy			Alam				Ketenangan		"Dingin"	"A, R, D, L"	"Biru, Hitam"
Merah marun			Tradisional			Keceriaan		"Panas"		"R, D, L"		"Merah, Biru, Kuning"
					Alam				
Peach				American Classic	Kewanitaan		"Hangat"	"R, D, L"		"Merah, Kuning, Putih"
					Modern				
Perak				Industrial			Ketenangan		"Dingin"	"R, D, L"		"Hitam, Putih"
Merah kekuningan	American Classic	Kewanitaan		"Panas"		"A, R, D, L"	"Merah, Kuning"
Biru air			American Classic	Ketenangan		"Dingin"	"A, R, D, L"	"Biru, Putih"
					Alam				
Krem				American Classic	Kehangatan		"Hangat"	"R, D, L"		"Merah, Biru, Kuning"
Hijau lumut			Alam				Kejantanan		"Dingin"	"L"				"Biru, Kuning, Putih"
